utc_time,bar_time,symbol,interval,model,threshold_long,threshold_short,allow_shorts,use_trend_filter,sma_len,close,proba_up,side,signal,atr_period,atr,sl_price,r_dist,partial_pct,partial_tp,final_tp,trail_k,trail_sl,qty_suggest,test_total_pct,test_maxdd_pct,trades_test,env_version,atr_pct,vol_rel_20,dist_hh_50,dist_ll_50
2026-04-28 14:12,2026-04-28T15:59:59Z,ETHUSDT,4h,PULLBACK,0.5,0.5,False,True,200,2272.61,0.0,0,0,14,33.13142857142858,,,0.5,,,3.0,,,0.0,0.0,0,SAFE_v2,0.014561217134921057,0.8772861758569787,0.06523478016279022,0.005335513246488549
2026-04-28 16:00,2026-04-28T19:59:59Z,ETHUSDT,4h,PULLBACK,0.5,0.5,False,True,200,2279.76,0.0,0,0,14,33.16357142857142,,,0.5,,,3.0,,,0.0,0.0,0,SAFE_v2,0.014546957323828569,6.434799853791434e-05,0.06316015720953072,0.009439590132294819
2026-04-28 20:00,2026-04-28T23:59:59Z,ETHUSDT,4h,PULLBACK,0.5,0.5,False,True,200,2302.63,0.0,0,0,14,34.81714285714286,,,0.5,,,3.0,,,0.0,0.0,0,SAFE_v2,0.015124999069116258,0.002283737642908652,0.05290708787294304,0.01899251072998673
2026-04-29 00:00,2026-04-29T03:59:59Z,ETHUSDT,4h,PULLBACK,0.5,0.5,False,True,200,2289.36,0.0,0,0,14,34.35642857142856,,,0.5,,,3.0,,,0.0,0.0,0,SAFE_v2,0.015006608036720461,4.418457505372604e-05,0.05867424937320366,0.013619169920766085
2026-04-29 04:00,2026-04-29T07:59:59Z,ETHUSDT,4h,PULLBACK,0.5,0.5,False,True,200,2311.96,0.0,0,0,14,34.47999999999998,,,0.5,,,3.0,,,0.0,0.0,0,SAFE_v2,0.014916591679933543,0.0021429191183631696,0.04855246764034056,0.02304976811794845
2026-04-29 08:00,2026-04-29T11:59:59Z,ETHUSDT,4h,PULLBACK,0.5,0.5,False,True,200,2324.69,0.0,0,0,14,34.597142857142835,,,0.5,,,3.0,,,0.0,0.0,0,SAFE_v2,0.014888624262346674,0.0010830558090278314,0.0430428664259617,0.028183136595043415
2026-04-29 12:00,2026-04-29T15:59:59Z,ETHUSDT,4h,PULLBACK,0.5,0.5,False,True,200,2331.93,0.0,0,0,14,33.234999999999964,,,0.5,,,3.0,,,0.0,0.0,0,SAFE_v2,0.014253304399289787,0.0006760405309699156,0.03945980255088485,0.03152152469829398
2026-04-29 16:00,2026-04-29T19:59:59Z,ETHUSDT,4h,PULLBACK,0.5,0.5,False,True,200,2270.6,0.0,0,0,14,32.19928571428568,,,0.5,,,3.0,,,0.0,0.0,0,SAFE_v2,0.014169040274535943,0.002015470497670286,0.06655196236760225,0.006279400310669892
2026-04-29 20:00,2026-04-29T23:59:59Z,ETHUSDT,4h,PULLBACK,0.5,0.5,False,True,200,2233.8,0.0,0,0,14,35.71142857142854,,,0.5,,,3.0,,,0.0,0.0,0,SAFE_v2,0.015987567073209717,0.0036490712020117075,0.08508304606706371,0.0059721538254912
2026-04-30 00:00,2026-04-30T03:59:59Z,ETHUSDT,4h,PULLBACK,0.5,0.5,False,True,200,2253.99,0.0,0,0,14,33.61,,,0.5,,,3.0,,,0.0,0.0,0,SAFE_v2,0.014918549425185315,0.0006639011521865647,0.07583558968440672,0.014443606018908945
2026-04-30 04:00,2026-04-30T07:59:59Z,ETHUSDT,4h,PULLBACK,0.5,0.5,False,True,200,2253.21,0.0,0,0,14,35.02214285714285,,,0.5,,,3.0,,,0.0,0.0,0,SAFE_v2,0.015543014883963917,0.00017741472947284086,0.0756732527382792,0.014592320391968746
2026-04-30 08:00,2026-04-30T11:59:59Z,ETHUSDT,4h,PULLBACK,0.5,0.5,False,True,200,2260.58,0.0,0,0,14,35.49642857142856,,,0.5,,,3.0,,,0.0,0.0,0,SAFE_v2,0.015704230203568786,0.0008809911718948014,0.07230866562551157,0.01767456676296606
2026-04-30 12:00,2026-04-30T15:59:59Z,ETHUSDT,4h,PULLBACK,0.5,0.5,False,True,200,2258.3,0.0,0,0,14,34.90642857142851,,,0.5,,,3.0,,,0.0,0.0,0,SAFE_v2,0.015457770669932652,5.843315758663507e-05,0.07332010734308167,0.016748000602254787
